City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,la ronge,55.1001,-105.2842,12.14,82,75,2.06,CA,1695915795
1,cranbrook,49.4999,-115.7688,5.91,87,75,1.03,CA,1695916067
2,dzuunharaa,48.8523,106.4579,5.4,94,97,1.5,MN,1695916067
3,fort st. john,56.2499,-120.8529,7.94,93,100,2.57,CA,1695916015
4,lambarene,-0.7001,10.2406,29.12,67,82,1.92,GA,1695916068
5,whitehorse,60.7161,-135.0538,6.01,91,100,1.79,CA,1695915529
6,olonkinbyen,70.9221,-8.7187,3.41,90,99,7.7,SJ,1695916068
7,kodiak,57.79,-152.4072,-1.27,86,0,3.6,US,1695915519
8,tsiombe,-25.3,45.4833,23.24,69,32,6.42,MG,1695915540
9,hotan,37.0997,79.9269,19.05,17,0,4.36,CN,1695916068
10,zaozersk,69.4005,32.4476,8.77,91,98,2.79,RU,1695916068
11,pisco,-13.7,-76.2167,20.57,77,75,2.06,PE,1695915268
12,port-aux-francais,-49.35,70.2167,2.73,77,66,16.22,TF,1695915508
13,cooma,-36.2333,149.1333,6.5,80,1,0.71,AU,1695916069
14,waitangi,-43.9535,-176.5597,9.9,95,100,3.58,NZ,1695915508
15,adamstown,-25.066,-130.1015,20.66,77,94,8.06,PN,1695915510
16,east london,-33.0153,27.9116,18.52,82,40,3.09,ZA,1695915522
17,west island,-12.1568,96.8225,25.99,73,40,6.69,CC,1695915512
18,bethel,41.3712,-73.414,16.54,75,100,2.57,US,1695915249
19,magadan,59.5667,150.8,5.37,93,28,2.39,RU,1695915542
20,edinburgh of the seven seas,-37.0676,-12.3116,11.08,59,69,10.77,SH,1695915508
21,mount pearl,47.5166,-52.7813,15.18,68,75,8.75,CA,1695916069
22,kone,-21.0595,164.8658,16.11,84,37,2.0,NC,1695915549
23,howrah,22.5892,88.3103,32.0,79,40,1.54,IN,1695916069
24,cerkezkoy,41.285,28.0003,20.1,94,75,4.63,TR,1695916069
25,karratha,-20.7377,116.8463,27.76,42,49,2.17,AU,1695916070
26,invercargill,-46.4,168.35,6.12,81,97,3.58,NZ,1695915521
27,amahai,-3.3333,128.9167,24.49,86,100,1.44,ID,1695916070
28,port alfred,-33.5906,26.891,18.99,86,2,0.89,ZA,1695915565
29,i-n-salah,27.1935,2.4607,34.08,18,0,9.54,DZ,1695916070
30,novyy urgal,51.0736,132.5642,7.11,96,100,1.68,RU,1695916070
31,talcahuano,-36.7167,-73.1167,13.82,54,20,7.72,CL,1695916070
32,burang,30.25,81.1667,6.3,73,24,2.5,CN,1695916070
33,suva,-18.1416,178.4415,20.71,100,75,2.57,FJ,1695916070
34,rikaze,29.25,88.8833,13.11,43,25,2.37,CN,1695916071
35,hermanus,-34.4187,19.2345,18.82,65,48,0.89,ZA,1695915521
36,tazacorte,28.629,-17.9293,26.19,75,40,5.66,ES,1695915810
37,gizo,-8.103,156.8419,25.34,90,100,7.32,SB,1695916071
38,sarakhs,36.5449,61.1577,21.44,25,0,4.69,IR,1695916071
39,tura,25.5198,90.2201,25.21,94,96,1.35,IN,1695916071
40,guerrero negro,27.9769,-114.0611,21.2,73,5,4.78,MX,1695916071
41,kailua-kona,19.6406,-155.9956,23.98,75,0,3.58,US,1695915562
42,cacheu,12.2706,-16.1658,31.05,62,100,1.0,GW,1695916071
43,bukama,-9.2,25.85,29.59,46,99,1.55,CD,1695916072
44,qaqortoq,60.7167,-46.0333,3.39,69,38,5.48,GL,1695915522
45,bilibino,68.0546,166.4372,-8.18,93,92,1.35,RU,1695915508
46,lloydminster,53.2835,-110.0016,10.12,81,75,3.6,CA,1695915997
47,hemsby,52.6971,1.6918,19.02,72,100,5.17,GB,1695916072
48,karera,25.4667,78.15,28.53,51,64,1.51,IN,1695916072
49,quellon,-43.1167,-73.6167,9.12,61,66,4.17,CL,1695915786
50,vorgashor,67.5833,63.95,-0.57,85,93,6.85,RU,1695916072
51,labytnangi,66.6572,66.4183,1.77,96,100,6.61,RU,1695915516
52,odessa,46.4775,30.7326,21.02,62,58,3.21,UA,1695915791
53,ilulissat,69.2167,-51.1,2.01,80,100,3.09,GL,1695915534
54,angostura,25.3667,-108.1833,31.64,60,5,1.15,MX,1695916073
55,anadyr,64.75,177.4833,4.28,86,0,4.0,RU,1695915515
56,dunedin,-45.8742,170.5036,7.11,59,61,0.45,NZ,1695915567
57,nelson bay,-32.7167,152.15,15.05,97,4,2.24,AU,1695916073
58,sinabang,2.4803,96.3801,26.68,81,87,3.67,ID,1695915531
59,tabuk,17.4189,121.4443,23.95,92,35,0.95,PH,1695916073
60,salalah,17.0151,54.0924,28.05,69,0,1.54,OM,1695916073
61,lihue,21.9789,-159.3672,24.77,78,20,6.17,US,1695915527
62,baiyin,36.5583,104.2081,12.2,59,100,6.1,CN,1695916073
63,college,64.8569,-147.8028,-0.03,88,75,1.54,US,1695915259
64,hasaki,35.7333,140.8333,25.22,75,0,6.33,JP,1695915517
65,blackmans bay,-43.0167,147.3167,14.85,58,30,4.49,AU,1695915509
66,sao vicente,-23.9631,-46.3919,21.98,83,100,0.51,BR,1695916074
67,patacamaya,-17.2333,-67.9167,18.11,29,3,3.33,BO,1695915567
68,mirnyy,62.5353,113.9611,4.67,87,100,0.59,RU,1695916074
69,ribeira grande,38.5167,-28.7,21.22,88,75,4.47,PT,1695915512
70,vorkuta,67.5,64.0,-0.3,84,92,6.94,RU,1695915542
71,carnarvon,-24.8667,113.6333,20.31,84,7,8.15,AU,1695915557
72,atafu village,-8.5421,-172.5159,28.14,79,14,6.51,TK,1695915526
73,udachny,66.4167,112.4,-2.67,54,7,2.6,RU,1695915509
74,arkhipo-osipovka,44.37,38.52,20.75,65,97,0.6,RU,1695916074
75,keflavik,64.0049,-22.5624,11.95,76,75,4.12,IS,1695915520
76,trairi,-3.2778,-39.2689,31.32,46,86,5.33,BR,1695915350
77,puerto ayora,-0.7393,-90.3518,25.98,93,100,4.47,EC,1695915509
78,hamilton,39.1834,-84.5333,20.54,90,100,3.09,US,1695915795
79,arhavi,41.3492,41.3069,22.95,81,6,1.22,TR,1695916075
80,wewak,-3.5534,143.6268,25.7,86,99,4.9,PG,1695916075
81,stanley,54.868,-1.6985,14.48,77,40,3.6,GB,1695915387
82,ilebo,-4.3167,20.5833,26.33,69,86,0.38,CD,1695915563
83,broken hill,-31.95,141.4333,14.65,43,0,3.3,AU,1695916075
84,nishinoomote,30.7333,131.0,26.66,73,0,3.98,JP,1695916075
85,arish,31.1316,33.7984,27.63,73,0,6.32,EG,1695916075
86,vuokatti,64.146,28.2697,12.92,94,98,1.69,FI,1695916076
87,bredasdorp,-34.5322,20.0403,17.12,78,26,2.5,ZA,1695915259
